,Sample_Point_(SP),Year,Date,Rake_toss_#,Latitude,Longitude,Depth,Rake_Abundance,PERCENT,Alisma_gramineum,Benthic_Filamentous_Algae,Callitriche_hermaphroditica,Ceratophyllum_demersum,Chara_vulgaris,Elodea_sp.,Floating_Filamentous_Algae,Fontinalis_sp.,Heteranthera_dubia,Hydrocharis_morsus-ranae,Hypericum_ellipticum,Juncus_sp.,Lemna_minor,Lemna_trisulca,Ludwigia_sp.,Megalodonta_beckii,Myriophyllum_sibiricum,Myriophyllum_spicatum,Najas_flexilis,Najas_guadalupensis,Nitella_flexilis,Nitellopsis_obtusa,Nuphar_variegata,Nymphaea_odorata,Pithophora_sp.,Polygonum_amphibium,Potamogeton_amplifolius,Potamogeton_crispus,Potamogeton_crispus_turions,Potamogeton_foliosus,Potamogeton_gramineus,Potamogeton_illinoensis,Potamogeton_praelongus,Potamogeton_pusillus,Potamogeton_richardsonii,Potamogeton_zosteriformis,Ranunculus_trichophyllus,Riccia_fluitans,Spirodela_polyrhiza,Stuckenia_pectinata,Stuckenia_vaginata,Utricularia_vulgaris,Vallisneria_americana,Wolffia_columbiana,Zannichellia_palustris,Zosterella_dubia,Abundance_calcs
53,27,2021,2021-08-17,2.0,42.9743156,75.8861365,1.5,M,100.03,,,,2.0,,20.0,,,,,,,,0.01,,,,,,,,0.01,,,48.0,,,0.01,,,,,,,,30.0,,,,,,,,,,,
54,28,2021,2021-08-17,1.0,42.9748021,75.8838658,1.1,M,100.01,,,,,50.0,,,0.01,,,,,,,,,,,,,,,,,,,,,,,50.0,,,,,,,,,,,,,,,,
55,28,2021,2021-08-17,2.0,42.9748021,75.8838658,1.1,S,100.02,,,,,55.0,,,,,,,,,,,,,,,0.01,,0.01,,,,,,,,,45.0,,,,,,,,,,,,,,,,
56,29,2021,2021-08-17,1.0,42.9750385,75.883328,1.1,M,100.02,,,,,,0.01,,0.01,,,,,,,,,,,,1.0,,10.0,,,,,10.0,,,,75.0,,,,,2.0,,,,,,,2.0,,,,
57,29,2021,2021-08-17,2.0,42.9750385,75.883328,1.1,S,100.04,,,,,0.01,,,1.0,0.01,,,,,,,,,,,0.01,,40.0,,,,,11.0,,,,45.0,,,,,1.0,,,,2.0,,,0.01,,,,
58,30,2021,2021-08-17,1.0,42.9752415,75.8825262,1.15,S,100.03,,,,3.0,,45.0,,,,,,,,,,,,,0.01,10.0,,0.01,,,,,10.0,,,,,10.0,,0.01,,20.0,,,,,,,2.0,,,,
59,30,2021,2021-08-17,2.0,42.9752415,75.8825262,1.15,S,100.03,,,,5.0,,5.0,,0.01,,,,,,,,,,,0.01,46.0,,,,,,,2.0,,,,,10.0,,0.01,,20.0,,,,,,2.0,10.0,,,,
60,31,2021,2021-08-17,1.0,42.9754028,75.8816964,1.2,M,100.03,,,,0.01,0.01,5.0,,2.0,0.01,,,,,,,,,,,25.0,,5.0,,,,,10.0,,,,,40.0,2.0,,,1.0,,,,,,2.0,8.0,,,,
61,31,2021,2021-08-17,2.0,42.9754028,75.8816964,1.2,M,100.02,,,,,10.0,1.0,,0.01,,,,,,,,,,,,20.0,,4.0,,,,,15.0,,,,,45.0,0.01,,,,,,,,,,5.0,,,,
62,32,2021,2021-08-17,1.0,42.9752738,75.8809542,1.1,S,100.02,,,,,95.0,,,,,,,,,,,,,,,0.01,,0.01,,,,,,,,,5.0,,,,,,,,,,,,,,,,
63,32,2021,2021-08-17,2.0,42.9752738,75.8809542,1.1,S,100.01,,,,,90.0,1.0,,,,,,,,,,,,,0.01,4.0,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,
64,33,2021,2021-08-17,1.0,42.9750154,75.8813339,1.5,M,100.01,,,,,80.0,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,20.0,,,,,,,,,,,,,,,
65,33,2021,2021-08-17,2.0,42.9750154,75.8813339,1.5,M,100.02,,,,,55.0,0.01,,,,,,,,,,,,,,,,0.01,,,,,,,,,,45.0,,,,,,,,,,,,,,,
66,34,2021,2021-08-17,1.0,42.9748007,75.8823264,2.0,M,100.03,,,,,40.0,3.0,,0.01,,,,,,0.01,,,,,,,,5.0,,,5.0,,14.0,,,,,30.0,,,,1.0,,,,0.01,,2.0,,,,,
67,34,2021,2021-08-17,2.0,42.9748007,75.8823264,2.0,M,100.01,,,,,1.0,10.0,,0.01,,,,,,,,,,,,15.0,,1.0,,,8.0,,10.0,,,,,55.0,,,,,,,,,,,,,,,
68,35,2021,2021-08-17,1.0,42.9745808,75.8831918,1.5,M,100.03,,,,,35.0,,,0.01,,,,,,,,,,,,9.0,,0.01,,,0.01,,2.0,,,,,50.0,,,,3.0,,,,,,,1.0,,,,
69,35,2021,2021-08-17,2.0,42.9745808,75.8831918,1.5,M,100.04,,,,,5.0,2.0,,0.01,,,,,,,,,,,,0.01,,1.0,,,5.0,,,,,,,87.0,,,,0.01,,,,,,,0.01,,,,
70,36,2021,2021-08-17,1.0,42.9744812,75.8839023,1.2,M,100.0,,,,,95.0,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,
71,36,2021,2021-08-17,2.0,42.9744812,75.8839023,1.2,M,100.0,,,,,97.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,1.0,,,,,,,,,,,,,,,,
72,37,2021,2021-08-17,1.0,42.974717,75.8804605,1.3,M,100.01,,,,,95.0,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,5.0,,,,,,,,,,,,,,,
73,37,2021,2021-08-17,2.0,42.974717,75.8804605,1.3,M,100.0,,,,,95.0,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,
74,38,2021,2021-08-17,1.0,42.9745272,75.8812385,2.3,M,100.03000000000002,,,,1.0,94.0,3.0,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,2.0,,,,0.01,,,0.01,,,,
75,38,2021,2021-08-17,2.0,42.9745272,75.8812385,2.3,M,100.01,,,,,94.0,1.0,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,2.0,,,,0.01,,,,,,,
76,39,2021,2021-08-17,1.0,42.9742522,75.8821871,2.6,S,100.03,,,,30.0,,30.0,,0.01,,,,,,,,,,,,,,0.01,,,20.0,,,2.0,,,,,,,,15.0,3.0,,,,,0.01,,,,,
77,39,2021,2021-08-17,2.0,42.9742522,75.8821871,2.6,S,100.03,,,,25.0,,34.0,,0.01,,,,,,0.01,,,,,,,,,,,25.0,,,0.01,,,,,,,,15.0,,,,,,1.0,,,,,
78,40,2021,2021-08-17,1.0,42.9739459,75.8833035,2.0,M,100.02,,,,,,75.0,,,,,,,,,,,,,,,,15.0,,,0.01,,9.0,,,,,,,,,0.01,,,,,,,1.0,,,,
79,40,2021,2021-08-17,2.0,42.9739459,75.8833035,2.0,M,100.03,,,,0.01,,40.0,,,,,,,,,,,,,,,,35.0,,,0.01,,1.0,0.01,,,,20.0,,,,4.0,,,,,,,,,,,
80,41,2021,2021-08-17,1.0,42.9737157,75.884369,2.0,M,100.03,,,,,0.01,2.0,,1.0,,,,,,,,,,,,0.01,,11.0,,,,,,,,,,85.0,,0.01,,1.0,,,,,,,,,,,
81,41,2021,2021-08-17,2.0,42.9737157,75.884369,2.0,M,100.02,,,,,30.0,7.0,,0.01,,,,,,,,,,,,0.01,,3.0,,,,,,,,,,60.0,,,,,,,,,,,,,,,
82,42,2021,2021-08-17,1.0,42.9735318,75.8851375,1.75,M,100.01,,,,,,5.0,,,,,,,,,,,,,,,,,,,10.0,,35.0,,,,,50.0,,,,0.01,,,,,,,,,,,
83,42,2021,2021-08-17,2.0,42.9735318,75.8851375,1.75,M,100.02,,,,,,3.0,,,,,,,,,,,,,,,,,,,3.0,,2.0,,,,,92.0,,0.01,,0.01,,,,,,,,,,,
84,43,2021,2021-08-17,1.0,42.9734209,75.8861874,3.2,S,100.01,,,,2.0,,3.0,,,,,,,,,,,,,,,,75.0,,,,,,0.01,,,,,,,,20.0,,,,,,,,,,,
85,43,2021,2021-08-17,2.0,42.9734209,75.8861874,3.2,S,100.01,,,,3.0,,2.0,,,,,,,,,,,,,,,,60.0,,,,,,,,,,,,0.01,,35.0,,,,,,,,,,,
86,44,2021,2021-08-17,1.0,42.9732563,75.8871586,4.0,D,100.03000000000002,,,,97.0,,2.0,,,,,,,,,,,,,,,,0.01,,,,,,0.01,,,,,,0.01,,1.0,,,,,,,,,,,
87,44,2021,2021-08-17,2.0,42.9732563,75.8871586,4.0,D,100.05000000000004,,,,90.0,,10.0,,,,,,,,,,,,,,,,0.01,,,,,,0.01,,,,,,0.01,,0.01,,,,,,0.01,,,,,
88,45,2021,2021-08-17,1.0,42.9730965,75.8879853,2.7,S,100.0,,,,,,,,,,,,,,,,,,,,,,95.0,,,,,,,,,,,,,,5.0,,,,,,,,,,,
89,45,2021,2021-08-17,2.0,42.9730965,75.8879853,2.7,M,100.0,,,,,,,,,,,,,,,,,,,,,,65.0,,,,,,,,,,,10.0,,,20.0,,,,5.0,,,,,,,
90,46,2021,2021-08-17,1.0,42.9727927,75.8888289,0.9,M,100.06000000000004,,,,,90.0,1.0,,,0.01,,,,,,,,,,,,,0.01,0.01,,,,,,,,,,0.01,,,9.0,0.01,,,0.01,,,,,,,
91,46,2021,2021-08-17,2.0,42.9727927,75.8888289,0.9,M,100.04000000000002,,,,,90.0,1.0,,,,,,,,0.01,,,,,,,,0.01,0.01,,,,,,,,,,,0.01,,9.0,,,,,,,,,,,
92,47,2021,2021-08-17,1.0,42.9722803,75.8881861,1.2,M,100.03,,,,0.01,60.0,2.0,,,,,,,,0.01,,,,,,,1.0,,20.0,,,,5.0,,,,,1.0,1.0,,,10.0,0.01,,,,,,,,,,
93,47,2021,2021-08-17,2.0,42.9722803,75.8881861,1.2,M,100.02,,,,,70.0,3.0,,,,,,,,,,,,,,,,0.01,10.0,,,,5.0,,,,,2.0,,,,10.0,0.01,,,,,,,,,,
94,48,2021,2021-08-17,1.0,42.9723151,75.8873411,2.5,S,100.01,,,,,,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,0.01,,,,,,,,,,,
95,48,2021,2021-08-17,2.0,42.9723151,75.8873411,2.5,S,100.0,,,,,,,,,,,,,,,,,,,,,,65.0,,,,,,,,,,,,,,5.0,,,,30.0,,,,,,,
96,49,2021,2021-08-17,1.0,42.9723966,75.8862069,4.2,D,100.02,,,,90.0,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,0.01,,,,,,,,,,,
97,49,2021,2021-08-17,2.0,42.9723966,75.8862069,4.2,D,100.05000000000004,,,,95.0,,5.0,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,0.01,,0.01,0.01,,,,,0.01,,,,,
98,50,2021,2021-08-17,1.0,42.9727738,75.8849941,3.5,M,100.02,,,,27.0,,35.0,,,,,,,,,,,,,,,,0.01,,,,,,0.01,,,,,,,,35.0,,,,1.0,,2.0,,,,,
99,50,2021,2021-08-17,2.0,42.9727738,75.8849941,3.5,S,100.02,,,,,,8.0,,,,,,,,,,,,,,,,65.0,,,,,,0.01,,,,,,0.01,,25.0,,,,2.0,,,,,,,
100,51,2021,2021-08-17,1.0,42.9730606,75.8842895,3.0,S,100.02,,,,2.0,,80.0,,,,,,,,,,,,,,,,0.01,,,,,,0.01,,,,,,,,15.0,,,,3.0,,,,,,,
101,51,2021,2021-08-17,2.0,42.9730606,75.8842895,3.0,M,100.02,,,,10.0,,28.0,,,,,,,,,,,,,,,,60.0,,,,,,0.01,,,,2.0,,,,0.01,,,,,,,,,,,
102,52,2021,2021-08-17,1.0,42.9732875,75.88337,3.25,T,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,99.0,,,,,,,,,,,
103,52,2021,2021-08-17,2.0,42.9732875,75.88337,3.25,T,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,99.0,,,,,,,,,,,
104,53,2021,2021-08-17,1.0,42.9735879,75.8826265,3.6,S,100.03,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,100.0,,,,,,0.01,,,,,
105,53,2021,2021-08-17,2.0,42.9735879,75.8826265,3.6,M,100.01,,,,14.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.0,,,,,,0.01,,,,,
106,54,2021,2021-08-17,1.0,42.9737212,75.8815971,4.0,T,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,,,,,,50.0,,,,,
107,54,2021,2021-08-17,2.0,42.9737212,75.8815971,4.0,T,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,75.0,,,,,,23.0,,,,,
108,55,2021,2021-08-17,1.0,42.9739382,75.8807551,3.0,M,100.02,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,18.0,0.01,,,,,25.0,,,55.0,,,,0.01,,,,,,,
109,55,2021,2021-08-17,2.0,42.9739382,75.8807551,3.0,M,100.01,,,,0.01,,5.0,,,,,,,,,,,,,,,,,,,,,40.0,,,,,,15.0,,,35.0,,,,5.0,,,,,,,
110,56,2021,2021-08-17,1.0,42.9743169,75.8799511,1.0,S,100.0,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,56,2021,2021-08-17,2.0,42.9743169,75.8799511,1.0,M,100.02,,,,,98.0,0.01,,,,,,,,,,,,,,,,0.01,,,,,,,,,,2.0,,,,,,,,,,,,,,,
112,57,2021,2021-08-17,1.0,42.9736845,75.8794947,1.0,M,100.01,,,,,90.0,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,
113,57,2021,2021-08-17,2.0,42.9736845,75.8794947,1.0,M,100.0,,,,,90.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,8.0,,,,,,,,,,,,,,,
114,58,2021,2021-08-17,1.0,42.9734881,75.8801,2.0,S,100.02,,,,2.0,,70.0,,,,,,,,,,,,,,14.0,,,,,,,0.01,,,,,2.0,2.0,,,10.0,,,,0.01,,,,,,,
115,58,2021,2021-08-17,2.0,42.9734881,75.8801008,2.0,S,100.03000000000002,,,,15.0,,15.0,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,5.0,,,65.0,,,,0.01,,0.01,,,,,
116,59,2021,2021-08-17,1.0,42.9730344,75.8811633,5.25,T,100.0,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,59,2021,2021-08-17,2.0,42.9730344,75.8811633,5.25,T,100.0,,,,,,,,95.0,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,60,2021,2021-08-17,1.0,42.9725813,75.8825812,4.5,S,100.01,,,,40.0,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,40.0,,,,,,,,,,,
119,60,2021,2021-08-17,2.0,42.9725813,75.8825812,4.5,M,100.01,,,,90.0,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,9.0,,1.0,,,,,,,,,,,
120,61,2021,2021-08-17,1.0,42.9724011,75.883566,4.2,T,100.0,,,,70.0,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,2.0,,,,,,,,,,,
121,61,2021,2021-08-17,2.0,42.9724011,75.883566,4.2,S,100.01,,,,40.0,,50.0,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,10.0,,,,,,,,,,,
122,62,2021,2021-08-17,1.0,42.9721624,75.8844711,4.0,T,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,99.0,,,,,,,,,,,,,
123,62,2021,2021-08-17,2.0,42.9721624,75.8844711,4.0,T,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,
124,63,2021,2021-08-17,1.0,42.9719054,75.8852373,2.5,M,100.02,,,,8.0,,,,,,,,,,,,,,,,,,40.0,,,,,,,,,,50.0,0.01,,,2.0,,,,0.01,,,,,,,
125,63,2021,2021-08-17,2.0,42.9719054,75.8852373,2.5,M,100.01,,,,,,,,,,,,,,,,,,,,,,40.0,,,,,,,,,,60.0,,,,0.01,,,,,,,,,,,
126,64,2021,2021-08-17,1.0,42.9717794,75.8861146,2.2,M,100.03000000000002,,,,,65.0,0.01,,,,,,,,,,,,,,,,0.01,,,,,,,,,,34.0,,,,1.0,,,,0.01,,,,,,,
127,64,2021,2021-08-17,2.0,42.9717794,75.8861146,2.2,M,100.01,,,,,65.0,5.0,,,,,,,,,,,,,,,,,,,,,4.0,,,,,15.0,10.0,0.01,,1.0,,,,,,,,,,,
128,65,2021,2021-08-17,1.0,42.9716586,75.8868663,1.2,M,100.01,,,,20.0,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,80.0,,,,,,,,,,,
129,65,2021,2021-08-17,2.0,42.9716586,75.8868663,1.2,M,100.0,,,,5.0,,,,,,,,,,,,,,,,,,70.0,,,,,,,,,,,,,,25.0,,,,,,,,,,,
130,66,2021,2021-08-12,1.0,42.9715393,75.8857554,1.15,M,100.0,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,66,2021,2021-08-12,2.0,42.9715393,75.8857554,1.15,M,100.0,,,,,99.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,67,2021,2021-08-12,1.0,42.9715242,75.8848803,1.2,M,100.03000000000002,,,,0.01,92.0,2.0,,,,,,,,,,,,,,1.0,,,,0.01,,,4.0,,,,,1.0,,,,0.01,,,,,,,,,,,
133,67,2021,2021-08-12,2.0,42.9715242,75.8848803,1.2,M,100.0,,,,,88.0,5.0,,,1.0,,,,,,,,,,,2.0,,,,,,,3.0,,,,,,,,,1.0,,,,,,,,,,,
134,68,2021,2021-08-12,1.0,42.9716138,75.8840747,1.5,M,100.03000000000002,,,,1.0,0.01,15.0,,,,,,,,,,,,,,,,2.0,,,0.01,,5.0,,,,,75.0,1.0,,,0.01,,,,,,,1.0,,,,
135,68,2021,2021-08-12,2.0,42.9716138,75.8840747,1.5,M,100.03,,,,2.0,,33.0,,,,,,,,,,,,,,0.01,,,,,0.01,,,,,,,60.0,,,,5.0,,,,,,,0.01,,,,
136,69,2021,2021-08-12,1.0,42.971902,75.8833566,4.5,T,100.0,,,,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,,10.0,,,,,,,,,,,
137,69,2021,2021-08-12,2.0,42.971902,75.8833566,4.5,T,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,,50.0,,,,,,,,,,,
138,70,2021,2021-08-12,1.0,42.972166,75.8825192,4.7,T,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,
139,70,2021,2021-08-12,2.0,42.972166,75.8825192,4.7,T,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,2.0,,97.0,,,,,,,,,,,
140,71,2021,2021-08-12,1.0,42.9722997,75.8813674,5.25,T,100.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,99.0,,,,,,,,,,,,,
141,71,2021,2021-08-12,2.0,42.9722997,75.8813674,5.25,T,100.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,95.0,,,,,,,,,,,
142,72,2021,2021-08-12,1.0,42.9730035,75.879904,2.4,M,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,14.0,,85.0,,,,,,,,,,,
143,72,2021,2021-08-12,2.0,42.9730035,75.879904,2.4,M,100.04,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,0.01,,100.0,,,,,,0.01,,,,,
144,73,2021,2021-08-12,1.0,42.9732028,75.8792463,0.9,M,100.0,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,73,2021,2021-08-12,2.0,42.9732028,75.8792463,0.9,M,100.01,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,
146,74,2021,2021-08-12,1.0,42.9722799,75.8787055,1.1,M,100.02,,,,,95.0,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,5.0,,,,0.01,,,,,,,,,,,
147,74,2021,2021-08-12,2.0,42.9722799,75.8787055,1.1,M,100.02,,,,0.01,93.0,0.01,,,,,,,,,,,,,,,,,,,,,2.0,,,,,4.0,,,,,,,,,,,1.0,,,,
148,75,2021,2021-08-12,1.0,42.971908,75.8793918,1.5,M,100.0,,,,1.0,,3.0,,,,,,,,,,,,,,,,,,,,,60.0,,,,,,15.0,,,20.0,,,,,,,1.0,,,,
149,75,2021,2021-08-12,2.0,42.971908,75.8793918,1.5,M,100.01,,,,1.0,,3.0,,,,,,,,,,,,,,3.0,,0.01,,,,,76.0,,,,,5.0,5.0,,,5.0,,,,,,,2.0,,,,
150,76,2021,2021-08-12,1.0,42.9716923,75.8804835,6.1,O,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,76,2021,2021-08-12,2.0,42.9716923,75.8804835,6.1,O,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,77,2021,2021-08-12,1.0,42.9714348,75.8818995,4.5,S,100.01,,,,10.0,,20.0,,10.0,,,,,,,,,,,,,,,,,,,,0.01,,,,,,55.0,,5.0,,,,,,,,,,,
153,77,2021,2021-08-12,2.0,42.9714348,75.8818995,4.5,S,100.0,,,,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,40.0,,,,,,,,,,,
154,78,2021,2021-08-12,1.0,42.9712043,75.8832194,2.0,M,100.02,,,,13.0,,2.0,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,85.0,,,,,,,0.01,,,,
155,78,2021,2021-08-12,2.0,42.9712043,75.8832194,2.0,M,100.02,,,,10.0,,45.0,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,0.01,,45.0,,,,,,,,,,,
156,79,2021,2021-08-12,1.0,42.9705937,75.8828932,1.3,M,100.01,,,,,70.0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,30.0,,,,,,,,,,,,,,,,
157,79,2021,2021-08-12,2.0,42.9705937,75.8828932,1.3,M,100.02,,,,,85.0,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,,,,,0.01,,,,0.01,,,,,,,
158,80,2021,2021-08-12,1.0,42.970566,75.8820202,3.5,S,100.0,,,,2.0,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.0,,,,,,8.0,,,,,
159,80,2021,2021-08-12,2.0,42.970566,75.8820202,3.5,M,100.03,,,,27.0,,1.0,,,,,,,,,,,,,,0.01,,0.01,,,,,,0.01,,,,,,,,70.0,,,,,,2.0,,,,,
160,81,2021,2021-08-12,1.0,42.9707304,75.8809406,6.0,T,100.0,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.0,,,,,,,,,,,
161,81,2021,2021-08-12,2.0,42.9707304,75.8809406,6.0,T,100.0,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,90.0,,,,,,,,,,,
162,82,2021,2021-08-12,1.0,42.97124,75.87953,2.0,M,100.01,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,95.0,,,,,,,,,,,
163,82,2021,2021-08-12,2.0,42.97124,75.87953,2.0,M,100.02,,,,4.0,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,0.01,,90.0,,,,,,,,,,,
164,83,2021,2021-08-12,1.0,42.9710137,75.8783806,2.75,M,100.02,,,,,86.0,5.0,,,,,,,,,,,,,1.0,2.0,,0.01,,,,,,,,,,5.0,,,,1.0,,,,,,,0.01,,,,
165,83,2021,2021-08-12,2.0,42.9710137,75.8783806,2.75,S,100.02,,,,,85.0,,,,,,,,,,,,,,1.0,0.01,,0.01,,,,,,,,,,11.0,,,,1.0,,,,,,,2.0,,,,
166,84,2021,2021-08-12,1.0,42.9702305,75.8792937,0.9,M,100.01,,,,,47.0,1.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,50.0,,,,,0.01,,,,,,,,,,,
167,84,2021,2021-08-12,2.0,42.9702305,75.8792937,0.9,S,100.01,,,,5.0,50.0,0.01,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,40.0,,,,,2.0,,,,,,,,,,,
168,85,2021,2021-08-12,1.0,42.9699584,75.8802035,3.5,M,100.04,,,,5.0,,0.01,,0.01,,,,,,,,,,,,0.01,,,,,,,,0.01,,,,,,,,95.0,,,,,,,,,,,
169,85,2021,2021-08-12,2.0,42.9699584,75.8802035,3.5,M,100.03,,,,2.0,,0.01,,,,,,,,,,,,,,,,,,,0.01,,,0.01,,,,,,,,98.0,,,,,,,,,,,
170,86,2021,2021-08-12,1.0,42.9699251,75.8811233,4.0,S,100.01,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,95.0,,,,,,,,,,,
171,86,2021,2021-08-12,2.0,42.9699251,75.8811233,4.0,T,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,98.0,,,,,,,,,,,
172,87,2021,2021-08-12,1.0,42.9698364,75.8819048,2.7,M,100.03,,,,,0.01,0.01,,5.0,,,,,,,,,,,,,,43.0,,,,,,,,,,42.0,2.0,0.01,,2.0,,,,5.0,,,1.0,,,,
173,87,2021,2021-08-12,2.0,42.9698364,75.8819048,2.7,M,100.0,,,,,,1.0,,4.0,,,,,,,,,,,,,,30.0,,,,,,,,,,35.0,5.0,,,15.0,,,,,,,10.0,,,,
174,88,2021,2021-08-12,1.0,42.9697445,75.8823727,1.5,M,100.01,,,,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,0.01,,,,
175,88,2021,2021-08-12,2.0,42.9697445,75.8823727,1.5,M,100.0,,,,,85.0,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,,
176,89,2021,2021-08-12,1.0,42.9690662,75.8821374,0.9,M,100.03000000000002,,,,,95.0,,,,,,,,,,,,,,,,,,,,,,0.01,,,,5.0,,,,,,,,,0.01,,,0.01,,,,
177,89,2021,2021-08-12,2.0,42.9690662,75.8821374,0.9,M,100.04000000000002,,,,,95.0,,,,,,,,,,,,,,0.01,0.01,,0.01,,,,,,,,,5.0,,,,,,,,,,,,0.01,,,,
178,90,2021,2021-08-12,1.0,42.9690518,75.881357,2.9,S,100.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,95.0,,,,2.0,,,,,,,
179,90,2021,2021-08-12,2.0,42.9690518,75.881357,2.9,T,100.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,90.0,,,,5.0,,,,,,,
180,91,2021,2021-08-12,1.0,42.9690485,75.8802482,3.0,M,100.01,,,,2.0,,4.0,,0.01,,,,,,,,,,,,,,,,,2.0,,,,,,,50.0,,,,2.0,,,,40.0,,,,,,,
181,91,2021,2021-08-12,2.0,42.9690485,75.8802482,3.0,M,100.02,,,,1.0,,,,0.01,,,,,,,,,,,0.01,,,,,,5.0,,,,,,,50.0,4.0,,,20.0,,,,20.0,,,,,,,
182,92,2021,2021-08-12,1.0,42.9690193,75.8790655,2.0,S,100.02,,,,,10.0,5.0,,0.01,,,,,,,,,,,40.0,4.0,,5.0,,,,,,,,,1.0,35.0,,,,,0.01,,,,,,,,,,
